year,country,region,artist,song
2008,Switzerland,Western Europe,Paolo Meneguzzi,Era stupendo
2008,Czech Republic,Former Socialist Bloc,Tereza Kerndlov_,Have Some Fun
2008,Belarus,Former Socialist Bloc,Ruslan Alekhno,Hasta la Vista
2008,Latvia,Former Socialist Bloc,Pirates of the Sea,Wolves of the Sea
2008,Croatia,Former Yugoslavia,Kraljevi Ulice and 75 cents,Romanca
2008,Bulgaria,Former Socialist Bloc,Deep Zone and Balthazar,"""DJ"
2008,Denmark,Scandinavia,Simon Mathew,All Night Long
2008,Georgia,Former Socialist Bloc,Diana Gurtskaya,Peace Will Come
2008,Hungary,Former Socialist Bloc,Cs_zy,Candlelight
2008,Malta,Western Europe,Morena,Vodka
2008,Cyprus,Independent,Evdokia Kadi,Femme Fatale
2008,Macedonia,Former Yugoslavia,"""Tamara"," Vr?ak and Adrijan"""
2008,Portugal,Western Europe,VÑnia Fernandes,Senhora do mar (Negras _guas)
2007,Bulgaria,Former Socialist Bloc,Elitsa Todorova and Stoyan Yankoulov,Water
2007,Israel,Independent,Teapacks,Push the Button
2007,Cyprus,Independent,Evridiki,"""Comme ci"
2007,Belarus,Former Socialist Bloc,Koldun,Work Your Magic
2007,Iceland,Scandinavia,Eirkur Hauksson,Valentine Lost
2007,Georgia,Former Socialist Bloc,Sopho,Visionary Dream
2007,Montenegro,Former Yugoslavia,Stevan Faddy,"""'Ajde"
2007,Switzerland,Western Europe,DJ Bobo,Vampires Are Alive
2007,Moldova,Former Socialist Bloc,Natalia Barbu,Fight
2007,Netherlands,Western Europe,Edsilia Rombley,On Top of the World
2007,Albania,Former Socialist Bloc,Frederik Ndoci,Hear My Plea
2007,Denmark,Scandinavia,DQ,Drama Queen
2007,Croatia,Former Yugoslavia,Dragonfly feat. Dado Topi?,Vjerujem u ljubav
2007,Poland,Former Socialist Bloc,The Jet Set,Time To Party
2007,Serbia,Former Yugoslavia,Marija ?erifovi?,Molitva
2007,Czech Republic,Former Socialist Bloc,Kab_t,Mal_ d_ma
2007,Portugal,Western Europe,Sabrina,Dan_a comigo
2007,Macedonia,Former Yugoslavia,Karolina,Mojot svet
2007,Norway,Scandinavia,Guri Schanke,Ven a bailar conmigo
2007,Malta,Western Europe,Olivia Lewis,Vertigo
2007,Andorra,Western Europe,Anonymous,Salvem el m¢n
2007,Hungary,Former Socialist Bloc,Magdi R£zsa,Unsubstantial Blues
2007,Estonia,Former Socialist Bloc,Gerli Padar,Partners in Crime
2007,Belgium,Western Europe,The KMG's,Love Power
2007,Slovenia,Former Yugoslavia,Alenka Gotar,Cvet z juga
2007,Turkey,Independent,Kenan Do?ulu,Shake It Up ?ekerim
2007,Austria,Western Europe,Eric Papilaya,Get a Life - Get Alive
2007,Latvia,Former Socialist Bloc,Bonaparti.lv,Questa notte
2006,Armenia,Former Socialist Bloc,Andr_,Without Your Love
2006,Bulgaria,Former Socialist Bloc,Mariana Popova,Let Me Cry
2006,Slovenia,Former Yugoslavia,An?ej De?an,Mr Nobody
2006,Andorra,Western Europe,Jenny,Sense tu
2006,Belarus,Former Socialist Bloc,Polina Smolova,Mum
2006,Albania,Former Socialist Bloc,Luiz Ejlli,Zjarr e ftoht_
2006,Belgium,Western Europe,Kate Ryan,Je t'adore
2006,Ireland,Independent,Brian Kennedy,Every Song Is a Cry for Love
2006,Cyprus,Independent,Annet Artani,Why Angels Cry
2006,Monaco,Western Europe,S_verine Ferrer,La Coco-Dance
2006,Macedonia,Former Yugoslavia,Elena Risteska,Ninanajna
2006,Poland,Former Socialist Bloc,Ich Troje feat. Real McCoy,Follow My Heart
2006,Russia,Former Socialist Bloc,Dima Bilan,Never Let You Go
2006,Turkey,Independent,Sibel Tzn,Sper Star
2006,Ukraine,Former Socialist Bloc,Tina Karol,Show Me Your Love
2006,Finland,Scandinavia,Lordi,Hard Rock Hallelujah
2006,Netherlands,Western Europe,Treble,Amambanda
2006,Lithuania,Former Socialist Bloc,LT United,We Are The Winners
2006,Portugal,Western Europe,Nonstop,Coisas de nada
2006,Sweden,Scandinavia,Carola,Invincible
2006,Estonia,Former Socialist Bloc,Sandra Oxenryd,Through My Window
2006,Bosnia and Herzegovina,Former Yugoslavia,Hari Mata Hari,Lejla
2006,Iceland,Scandinavia,Silvia Night,Congratulations
2005,Austria,Western Europe,Global.Kryner,Y as
2005,Lithuania,Former Socialist Bloc,Laura and The Lovers,Little by Little
2005,Portugal,Western Europe,2B,Amar
2005,Moldova,Former Socialist Bloc,Zdob ?i Zdub,Boonika bate doba
2005,Latvia,Former Socialist Bloc,Walters and Kazha,The War Is Not Over
2005,Monaco,Western Europe,Lise Darly,Tout de moi
2005,Israel,Independent,Shiri Maimon,Hasheket Shenish'ar
2005,Belarus,Former Socialist Bloc,Angelica Agurbash,Love Me Tonight
2005,Netherlands,Western Europe,Glennis Grace,My Impossible Dream
2005,Iceland,Scandinavia,Selma,If I Had Your Love
2005,Belgium,Western Europe,Nuno Resende,Le grand soir
2005,Estonia,Former Socialist Bloc,Suntribe,Let's Get Loud
2005,Norway,Scandinavia,Wig Wam,In My Dreams
2005,Romania,Former Socialist Bloc,Lumini?a Anghel and Sistem,Let Me Try
2005,Hungary,Former Socialist Bloc,NOX,"""Forogj"
2005,Finland,Scandinavia,Geir R”nning,Why?
2005,Macedonia,Former Yugoslavia,Martin Vu?i?,Make My Day
2005,Andorra,Western Europe,Marian van de Wal,La mirada interior
2005,Switzerland,Western Europe,Vanilla Ninja,Cool Vibes
2005,Croatia,Former Yugoslavia,Boris Novkovi? feat. Lado Members,Vukovi umiru sami
2005,Bulgaria,Former Socialist Bloc,Kaffe,Lorraine
2005,Ireland,Independent,Donna and Joe,Love?
2005,Slovenia,Former Yugoslavia,Omar Naber,Stop
2005,Denmark,Scandinavia,Jakob Sveistrup,Talking to You
2005,Poland,Former Socialist Bloc,Ivan and Delfin,Czarna dziewczyna
2004,Finland,Scandinavia,Jari SillanpÊÊ,Takes 2 To Tango
2004,Belarus,Former Socialist Bloc,Aleksandra and Konstantin,My Galileo
2004,Switzerland,Western Europe,Piero and the MusicStars,Celebrate
2004,Latvia,Former Socialist Bloc,Fomins and Kleins,Dziesma par laimi
2004,Israel,Independent,David D'Or,Leha'amin
2004,Andorra,Western Europe,Marta Roure,Jugarem a estimar-nos
2004,Portugal,Western Europe,Sofia Vit¢ria,Foi magia
2004,Malta,Western Europe,Julie and Ludwig,On Again... Off Again
2004,Monaco,Western Europe,Maryon,Notre plan_te
2004,Greece,Western Europe,Sakis Rouvas,Shake It
2004,Ukraine,Former Socialist Bloc,Ruslana,Wild Dances
2004,Lithuania,Former Socialist Bloc,Linas and Simona,What's Happened To Your Love?
2004,Albania,Former Socialist Bloc,Anjeza Shahini,The Image of You
2004,Cyprus,Independent,Lisa Andreas,Stronger Every Minute
2004,Macedonia,Former Yugoslavia,To?e Proeski,Life
2004,Slovenia,Former Yugoslavia,Platin,Stay Forever
2004,Estonia,Former Socialist Bloc,Neiok_s_,Tii
2004,Croatia,Former Yugoslavia,Ivan Mikuli?,You Are The Only One
2004,Denmark,Scandinavia,Thomas Thordarson,Shame on You
2004,Serbia and Montenegro,Former Yugoslavia,?eljko Joksimovi?,Lane moje
2004,Bosnia and Herzegovina,Former Yugoslavia,Deen,In The Disco
2004,Netherlands,Western Europe,Re-Union,Without You
2011,Sweden,Scandinavia,Eric Saade,Popular
2011,Denmark,Scandinavia,A Friend In London,New Tomorrow
2011,Slovenia,Former Yugoslavia,Maja Keuc,No One
2011,Romania,Former Socialist Bloc,Hotel FM,Change
2011,Bosnia and Herzegovina,Former Yugoslavia,Dino Merlin,Love In Rewind
2011,Ukraine,Former Socialist Bloc,Mika Newton,Angel
2011,Austria,Western Europe,Nadine Beiler,The Secret Is Love
2011,Ireland,Independent,Jedward,Lipstick
2011,Estonia,Former Socialist Bloc,Getter Jaani,Rockefeller Street
2011,Moldova,Former Socialist Bloc,Zdob _i Zdub,So Lucky
2011,Belgium,Western Europe,Witloof Bay,With Love Baby
2011,Bulgaria,Former Socialist Bloc,Poli Genova,Na Inat
2011,Slovakia,Former Socialist Bloc,TWiiNS,I'm Still Alive
2011,Belarus,Former Socialist Bloc,Anastasiya Vinnikova,I Love Belarus
2011,Israel,Independent,Dana International,Ding Dong
2011,Macedonia,Former Yugoslavia,Vlatko Ilievski,Rusinka
2011,Latvia,Former Socialist Bloc,Musiqq,Angel In Disguise
2011,Cyprus,Independent,Christos Mylordos,San Aggelos SAgapisa
2011,Netherlands,Western Europe,3JS,Never Alone
2011,Greece,Western Europe,Loucas Yiorkas feat. Stereo Mike,Watch My Dance
2011,Azerbaijan,Former Socialist Bloc,Ell & Nikki,Running Scared
2011,Finland,Scandinavia,Paradise Oskar,Da Da Dam
2011,Iceland,Scandinavia,Sjonni's Friends,Coming Home
2011,Lithuania,Former Socialist Bloc,Evelina Sa_enko,C'est Ma Vie
2011,Georgia,Former Socialist Bloc,Eldrine,One More Day
2011,Hungary,Former Socialist Bloc,Kati Wolf,What About My Dreams?
2011,Serbia,Former Yugoslavia,Nina,_aroban
2011,Russia,Former Socialist Bloc,Alexej Vorobjov,Get You
2011,Switzerland,Western Europe,Anna Rossinelli,In Love For A While
2011,Malta,Western Europe,Glen Vella,One Life
2011,Armenia,Former Socialist Bloc,Emmy,Boom Boom
2011,Turkey,Independent,Y»ksek Sadakat,Live It Up
2011,Albania,Former Socialist Bloc,Aurela Gae,Feel The Passion
2011,Croatia,Former Yugoslavia,Daria,Celebrate
2011,San Marino,Western Europe,Senit,Stand By
2011,Norway,Scandinavia,Stella Mwangi,Haba Haba
2011,Portugal,Western Europe,Homens Da Luta,Luta — Alegria
2011,Poland,Former Socialist Bloc,Magdalena Tul,Jestem
2012,Albania,Former Socialist Bloc,Rona Nishliu,Suus
2012,Austria,Western Europe,Trackshittaz,Woki Mit Deim Popo
2012,Belarus,Former Socialist Bloc,Litesound,We Are The Heroes
2012,Belgium,Western Europe,Iris,Would You?
2012,Bosnia and Herzegovina,Former Yugoslavia,Maya Sar,Korake ti znam
2012,Bulgaria,Former Socialist Bloc,Sofi Marinova,Love Unlimited
2012,Croatia,Former Yugoslavia,Nina Badri_,Nebo
2012,Cyprus,Independent,Ivi Adamou,La La Love
2012,Denmark,Former Socialist Bloc,Soluna Samay,Should've Known Better
2012,Estonia,Scandinavia,Ott Lepland,Kuula
2012,Finland,Former Socialist Bloc,Pernilla,N_r Jag Blundar
2012,Georgia,Scandinavia,Anri Jokhadze,I'm A Joker
2012,Greece,Western Europe,Eleftheria Eleftheriou,Aphrodisiac
2012,Hungary,Former Socialist Bloc,Compact Disco,Sound Of Our Hearts
2012,Iceland,Scandinavia,Greta SalÜme & JÜnsi,Never Forget
2012,Ireland,Independent,Jedward,Waterline
2012,Israel,Independent,Izabo,Time
2012,Latvia,Former Socialist Bloc,Anmary,Beautiful Song
2012,Lithuania,Former Socialist Bloc,Donny Montell,Love Is Blind
2012,Macedonia,Former Yugoslavia,Kaliopi,Crno I Belo
2012,Malta,Western Europe,Kurt Calleja,This Is The Night
2012,Moldova,Former Socialist Bloc,Pasha Parfeny,L_utar
2012,Montenegro,Former Yugoslavia,Rambo Amadeus,Euro Neuro
2012,Netherlands,Western Europe,Joan Franka,You And Me
2012,Norway,Scandinavia,Tooji,Stay
2012,Portugal,Former Socialist Bloc,Filipa Sousa,Vida Minha
2012,Romania,Western Europe,Mandinga,Zaleilah
2012,Russia,Former Socialist Bloc,Buranovskiye Babushki,Party For Everybody
2012,San Marino,Western Europe,Valentina Monetta,The Social Network Song (Oh Oh _ Uh - Oh Oh)
2012,Serbia,Former Yugoslavia,_eljko Joksimovi_,Nije Ljubav Stvar
2012,Slovakia,Former Socialist Bloc,Max Jason Mai,Don't Close Your Eyes
2012,Slovenia,Former Yugoslavia,Eva Boto,Verjamem
2012,Sweden,Scandinavia,Loreen,Euphoria
2012,Switzerland,Western Europe,Sinplus,Unbreakable
2012,Turkey,Independent,Can Bonomo,Love Me Back
2012,Ukraine,Former Socialist Bloc,Gaitana,Be My Guest
2010,Albania,Former Socialist Bloc,Juliana Pasha,It's All About You
2010,Armenia,Former Socialist Bloc,Eva Rivas,Apricot Stone
2010,Azerbaijan,Former Socialist Bloc,Safura,Drip Drop
2010,Belarus,Former Socialist Bloc,3+2_feat_Robert Wells,Butterflies
2010,Belgium,Western Europe,Tom Dice,Me and My Guitar
2010,Bosnia and Herzegovina,Former Yugoslavia,Vuka_in Braji_,Thunder and Lightning
2010,Bulgaria,Former Socialist Bloc,Miro,Angel si ti (_____ __ __)
2010,Croatia,Former Yugoslavia,Feminnem,Lako je sve
2010,Cyprus,Independent,Jon Lilygreen_and_The Islanders,Life Looks Better in Spring
2010,Denmark,Scandinavia,Chan_e_and_N'evergreen,In a Moment Like This
2010,Estonia,Former Socialist Bloc,Malcolm Lincoln_and_Manpower 4,Siren
2010,Finland,Scandinavia,Kuunkuiskaajat,Ty_lki ell__
2010,Georgia,Former Socialist Bloc,Sofia Nizharadze,Shine
2010,Greece,Western Europe,Giorgos Alkaios_and_Friends,OPA (___)
2010,Iceland,Scandinavia,Hera Bj_rk,Je ne sais quoi
2010,Ireland,Independent,Niamh Kavanagh,It's for You
2010,Israel,Independent,Harel Skaat,Milim (_____)
2010,Latvia,Former Socialist Bloc,Aisha,What For?
2010,Lithuania,Former Socialist Bloc,InCulto,Eastern European Funk
2010,Macedonia,Former Yugoslavia,"""Gjoko Taneski","_Billy Zver_and_Pej_in"""
2010,Malta,Western Europe,Thea Garrett,My Dream
2010,Moldova,Former Socialist Bloc,SunStroke Project_and,Run Away
2010,Netherlands,Western Europe,Sieneke,Ik ben verliefd (Sha-la-lie)
2010,Poland,Former Socialist Bloc,Marcin Mrozi_ski,Legenda
2010,Portugal,Western Europe,Filipa Azevedo,Hš dias assim
2010,Romania,Former Socialist Bloc,Paula Seling_and_Ovi,Playing with Fire
2010,Russia,Former Socialist Bloc,Peter Nalitch and Friends,Lost and Forgotten
2010,Serbia,Former Yugoslavia,Milan Stankovi_,Ovo je Balkan
2010,Slovakia,Former Socialist Bloc,Kristina,Horehronie
2010,Slovenia,Former Yugoslavia,Ansambel _lindra_and_Kalamari,Narodnozabavni rock
2010,Sweden,Scandinavia,Anna Bergendahl,This Is My Life
2010,Switzerland,Western Europe,Michael von der Heide,Il pleut de l'or
2010,Turkey,Independent,maNga,We Could Be the Same
2010,Ukraine,Former Socialist Bloc,Alyosha,Sweet People
